ano,codigo,sigla,local,populacao_total,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana
2017,0,BR,Brasil,205211557,0.657094889352705,75.7228398564015,22.1022493514845,1.75866754164944,33.4508373829334,20.0995144789827,53.5503518619161,60.0867304124275,33.591842383419,32.2879434803493
2018,0,BR,Brasil,206529038,0.642011112463803,75.9902268405237,22.2067809728665,1.77923455058482,33.076060205011,20.776070023345,53.852130228356,62.8130130812782,33.9111158354401,32.7288229005876
2019,0,BR,Brasil,207900099,0.663858706396536,76.2211006556923,22.254799621507,1.72939750347996,32.7245052211284,21.4724204763481,54.1969256974765,65.6157223195679,34.2274693048607,33.1588570117555
2020,0,BR,Brasil,209164889,0.608364308667309,74.8090053456845,21.1696147339719,1.66349379144432,32.3410390952189,22.1419246187879,54.4829637140068,68.4638627522057,34.5380401583556,33.5717801005236
2021,0,BR,Brasil,210103642,0.448810029488267,72.7843019207654,20.0840385466633,1.63670199704343,31.9541599071346,22.7554849085788,54.7096448157133,71.2129030295614,34.8290491128183,33.9595256497703
2022,0,BR,Brasil,210862983,0.361412583224041,75.448044104081,21.6193857538322,1.57625383660638,31.6028205002464,23.4273377545884,55.0301582548348,74.1305281736031,35.1394318745837,34.3645155433075
2023,0,BR,Brasil,211695158,0.3946520096417269,76.3884546784577,22.4707736848205,1.57053296169407,31.2265056799917,24.2177662665614,55.4442719465531,77.5551594364878,35.4898990179076,34.8087947097212
2024,0,BR,Brasil,212583750,0.419750743661318,76.6057109845871,22.5909397271293,1.54680260681053,30.8410707155661,25.0584928393582,55.8995635549243,81.2503984393471,35.8504918367467,35.2511418612686
2025,0,BR,Brasil,213421037,0.3938621837275889,76.8177485210878,22.7076513090262,1.52847110399664,30.4720689849309,25.919187119983,56.3912561049139,85.0588357909027,36.2133286982389,35.6912944319663
2026,0,BR,Brasil,214211951,0.370588584479603,77.0272472172583,22.8221434534438,1.51291796111521,30.0634056259973,26.7754263515832,56.8388319775805,89.063184273538,36.5767573584165,36.128295846246
2027,0,BR,Brasil,214959713,0.349075761884077,77.23414186838,22.9350107435848,1.49970775122188,29.6113237176677,27.6164866276859,57.2278103453536,93.2632626997641,36.9397556183004,36.5630245486499
2028,0,BR,Brasil,215667282,0.329163539588473,77.4386461242596,23.046586232741,1.48851452129397,29.1450743496672,28.4450830326896,57.5901573823567,97.5982517368819,37.3016013064049,36.9948896613702
2029,0,BR,Brasil,216337693,0.310854290823781,77.640714331391,23.1566948521825,1.47909330042681,28.62956986248,29.2573635838407,57.8869334463207,102.192815764876,37.661535888709,37.4259725973097
