ano,codigo,sigla,local,populacao_total,populacao_0_14,populacao_15_64,populacao_60_mais,populacao_65_mais,populacao_80_mais,proporcao_0_14,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,proporcao_80_mais
2019,0,BR,Brasil,207900099,44121683,143936438,28950761,19841978,4140204,0.21222540639579,0.692334629431802,0.139253233352236,0.0954399641724076,0.0199143916713575
2020,0,BR,Brasil,209164889,43788711,144790679,29979443,20585499,4269699,0.209350198349973,0.692232236931505,0.143329232469796,0.0984175647185221,0.0204130770724144
2021,0,BR,Brasil,210103642,43395390,145458036,30903117,21250216,4356906,0.206542778539746,0.692315633443422,0.147085108596071,0.101141588016832,0.0207369370589016
2022,0,BR,Brasil,210862983,42984314,145928636,31864499,21950033,4440286,0.203849501645341,0.69205430902967,0.151114712248949,0.104096189324989,0.0210576836997511
2023,0,BR,Brasil,211695158,42526495,146375852,32981491,22792811,4572930,0.200885534661119,0.691446386317442,0.155797096691272,0.107668079021439,0.0216014860387123
2024,0,BR,Brasil,212583750,42054707,146815459,34169617,23713584,4751208,0.197826536600281,0.690624090505507,0.160734849206489,0.111549372894212,0.0223498174248972
2025,0,BR,Brasil,213421037,41584042,147170695,35370902,24666300,4956211,0.194845093925769,0.689579139286068,0.16573296848895,0.115575766788163,0.0232226919598371
2026,0,BR,Brasil,214211951,41060882,147504526,36570129,25646543,5184146,0.191683432265644,0.68859148759632,0.170719368500593,0.119725080138036,0.0242010120154314
2027,0,BR,Brasil,214959713,40484197,147827324,37756883,26648192,5429437,0.188333880963081,0.68769781061254,0.175646322155259,0.123968308424379,0.0252579282146697
2028,0,BR,Brasil,215667282,39885987,148119414,38928026,27661881,5688584,0.184942225033466,0.686795941537391,0.180500378355953,0.128261833429143,0.0263766666285524
2029,0,BR,Brasil,216337693,39228421,148417733,40088628,28691539,5964318,0.181329570709622,0.686046573492859,0.185305794122525,0.132623855797519,0.0275694813848274
2030,0,BR,Brasil,216973093,38485050,148758847,41243737,29729196,6259435,0.177372454196429,0.685609652990475,0.190086874043871,0.137017892813096,0.0288488997112651
2031,0,BR,Brasil,217562970,37780666,149021283,42397965,30761021,6571278,0.173653935685838,0.684957017271827,0.194876752234077,0.141389047042334,0.0302040278269781
2032,0,BR,Brasil,218096284,37115134,149203771,43555940,31777379,6898087,0.170177745898688,0.684118813321918,0.199709684187008,0.145703440779394,0.031628631508458
2033,0,BR,Brasil,218574144,36385497,149413458,44713297,32775189,7238414,0.166467526003442,0.683582491806533,0.204568098411494,0.149949982190025,0.0331165153733829
2034,0,BR,Brasil,218997707,35667255,149571434,45872706,33759018,7594670,0.162865883340048,0.682981735511961,0.209466604141202,0.154152381147991,0.0346792215500229
2035,0,BR,Brasil,219367247,35038916,149594746,47051618,34733585,7968781,0.15972719938451,0.681937472643763,0.214487890254647,0.158335327971728,0.0363262114512473
2036,0,BR,Brasil,219681891,34483378,149495429,48270206,35703084,8357822,0.156969597462178,0.680508658767873,0.219727742602143,0.16252174376995,0.0380451113287258
2037,0,BR,Brasil,219940741,33997686,149271248,49540659,36671807,8758972,0.154576572968807,0.678688483640236,0.225245485555584,0.166734943390956,0.0398242361109441
2038,0,BR,Brasil,220144140,33559616,148948749,50866243,37635775,9170052,0.152443830664764,0.676596474473497,0.231058809923353,0.170959694861739,0.0416547631020294
2039,0,BR,Brasil,220292836,33144508,148550344,52236970,38597984,9592604,0.150456585887341,0.674331252424387,0.237125141917915,0.175212161688272,0.0435447841799086
2040,0,BR,Brasil,220386440,32761971,148048781,53633215,39575688,10027368,0.148656927349977,0.671769011741376,0.243359868238717,0.179574060908648,0.045499024350137
2041,0,BR,Brasil,220425299,32404644,147431686,55026158,40588969,10471907,0.147009640667426,0.668851019682636,0.249636308761455,0.184139339649937,0.0475077363964469
2042,0,BR,Brasil,220410205,32067857,146692237,56392977,41650111,10922339,0.145491707155755,0.665541947116287,0.255854655187132,0.188966345727958,0.0495545975287306
2043,0,BR,Brasil,220341694,31748291,145830811,57728377,42762592,11372247,0.144086624840054,0.661839383879839,0.261994795229268,0.194073991280107,0.0516118706067495
2044,0,BR,Brasil,220220282,31442626,144860448,59031923,43917208,11824827,0.142778066191015,0.657797940700121,0.268058520604383,0.199423993108864,0.0536954493592012
2045,0,BR,Brasil,220045691,31147307,143802877,60290459,45095507,12275056,0.141549270328588,0.653513715022031,0.273990636790066,0.20493701464938,0.055784123489153
2046,0,BR,Brasil,219817347,30859621,142687553,61488537,46270173,12713966,0.140387560040928,0.649118711272591,0.279725589627829,0.210493728686481,0.0578387746623109
2047,0,BR,Brasil,219535230,30577486,141538223,62615945,47419521,13135618,0.139282820347331,0.644717583596947,0.285220486024043,0.215999596055722,0.0598337588003529
2048,0,BR,Brasil,219199916,30299046,140361911,63664610,48538959,13539040,0.138225627787193,0.64033743060376,0.290440850351421,0.221436941609047,0.0617657171000011
2049,0,BR,Brasil,218811421,30021715,139161280,64637653,49628426,13928785,0.137203601451864,0.635987277830438,0.295403469821623,0.226809120717698,0.0636565721128423
2050,0,BR,Brasil,218369418,29743299,137950440,65549776,50675679,14309681,0.136206339112925,0.631729668299981,0.300178370214826,0.232063992587094,0.0655296933566036
2051,0,BR,Brasil,217873978,29462867,136744894,66422062,51666217,14686218,0.135228939547797,0.627632979648446,0.304864594706211,0.237138080803757,0.0674069392536634
2052,0,BR,Brasil,217325473,29180494,135554533,67269889,52590446,15062771,0.134270932887835,0.623739735286346,0.309535224156627,0.241989331825819,0.0693097352651339
2053,0,BR,Brasil,216724289,28895041,134388530,68095122,53440718,15437488,0.133326269673447,0.620089841429818,0.314201616783248,0.246583888896736,0.0712310007855188
2054,0,BR,Brasil,216070026,28604397,133245397,68892807,54220232,15813467,0.132384845457463,0.616676914733189,0.318844812838593,0.250938239809348,0.0731867686265748
2055,0,BR,Brasil,215362623,28307817,132111528,69662989,54943278,16204079,0.131442571629526,0.613437588007089,0.323468334614405,0.255119840363386,0.075240906589441
2056,0,BR,Brasil,214603069,28006285,130966514,70403991,55630270,16624302,0.130502723612028,0.610273257555324,0.328066095830158,0.259224018832648,0.0774653506935635
2057,0,BR,Brasil,213793298,27701373,129795745,71113256,56296180,17083001,0.12957082031636,0.607108577369904,0.332626217310142,0.263320602313736,0.079904286803228
2058,0,BR,Brasil,212934075,27392997,128598484,71792720,56942594,17582138,0.128645436386825,0.603935673517731,0.337159376675621,0.267418890095444,0.0825708050719454
2059,0,BR,Brasil,212025649,27080473,127380577,72439658,57564599,18114185,0.12772262755814,0.600779092533281,0.341655164559831,0.271498279908578,0.0854339325710542
2060,0,BR,Brasil,211069036,26764647,126142315,73032189,58162074,18664777,0.12680517951482,0.597635339557812,0.346010908961559,0.275559480927368,0.0884297259025715
2061,0,BR,Brasil,210066029,26447788,124885198,73541875,58733043,19212830,0.125902260950532,0.594504492680252,0.350089328341614,0.279593246369217,0.09146090917918
2062,0,BR,Brasil,209018787,26132079,123612099,73971580,59274609,19741512,0.125022632534941,0.591392289536155,0.353899192803181,0.283585077928904,0.0944485052436937
2063,0,BR,Brasil,207928784,25818785,122321645,74330256,59788354,20246769,0.124171288377274,0.58828625189286,0.357479395445317,0.287542459729866,0.0973735747908765
2064,0,BR,Brasil,206797115,25509014,121016520,74629781,60271581,20728302,0.123352852383845,0.585194430783041,0.360884052952093,0.291452716833114,0.100234967011024
2065,0,BR,Brasil,205625259,25204406,119717570,74878965,60703283,21176878,0.122574464453319,0.582212373043139,0.364152562599325,0.295213162503542,0.102987726814243
2066,0,BR,Brasil,204415091,24906613,118452256,75087501,61056222,21581742,0.121843318309606,0.579469233022527,0.367328559905589,0.298687448667868,0.105578027015628
2067,0,BR,Brasil,203168549,24616757,117217993,75204572,61333799,21936242,0.121164211297291,0.576949501175007,0.370158532755973,0.301886287527702,0.107970658391619
2068,0,BR,Brasil,201887385,24336140,116005914,75277542,61545331,22235218,0.120543143396503,0.574607046398664,0.372868973462606,0.304849810204833,0.110136737865023
2069,0,BR,Brasil,200573375,24066316,114803980,75315921,61703079,22482172,0.119987590576267,0.572378961065994,0.375503084594354,0.307633448357739,0.112089513376339
2070,0,BR,Brasil,199228708,23808343,113603532,75292150,61816833,22689672,0.119502571888385,0.570216677809305,0.377918176330291,0.310280750302311,0.113887562830554
2000,1,NO,Norte,13340960,5027955,7791525,766846,521480,111595,0.376881049039949,0.584030309662873,0.0574805711133232,0.039088641297178,0.0083648403113419
2001,1,NO,Norte,13637976,5063835,8037139,790473,537002,113880,0.371303997015393,0.589320512075985,0.0579611666716527,0.0393754909086216,0.0083502126708538
2002,1,NO,Norte,13930752,5095145,8281917,815367,553690,116137,0.365748022791591,0.59450609701472,0.0585300061331937,0.0397458801936895,0.008336735877575
2003,1,NO,Norte,14220524,5123417,8525520,841722,571587,118475,0.36028327788765,0.599522211699091,0.059190645858057,0.040194510413259,0.0083312682429986
2004,1,NO,Norte,14508485,5149109,8768781,869766,590595,121012,0.354903285904765,0.604389844976922,0.0599487816956767,0.0407068691183125,0.0083407743813361
2005,1,NO,Norte,14795552,5171470,9013325,899904,610757,123810,0.349528696191937,0.609191532698476,0.0608226039826023,0.0412797711095875,0.0083680554804579
2006,1,NO,Norte,15083626,5189945,9261264,932479,632417,127008,0.344078075125968,0.613994539509267,0.0618206126298809,0.0419273853647657,0.008420256508614
2007,1,NO,Norte,15367681,5198689,9513362,967494,655630,130596,0.338287149505511,0.619049939935635,0.0629564083221144,0.042662910558854,0.0084980941496638
2008,1,NO,Norte,15647620,5199806,9767725,1004936,680089,134471,0.332306510510864,0.624230713680419,0.0642229297490609,0.0434627758087172,0.0085937030679426
2009,1,NO,Norte,15919181,5192738,10020702,1045161,705741,138615,0.326193790999675,0.629473463490364,0.0656541941447867,0.0443327455099606,0.0087074203126404
2010,1,NO,Norte,16158154,5168774,10256116,1089024,733264,143300,0.319886417718262,0.634733150828987,0.0673977980405435,0.0453804314527513,0.0088685873398656
2011,1,NO,Norte,16374290,5136191,10475432,1136668,762667,148575,0.313674119610682,0.639748776893532,0.0694178495678286,0.0465771034957852,0.0090736758662513
2012,1,NO,Norte,16591669,5100122,10697924,1187647,793623,154244,0.30739053436999,0.644776845536154,0.0715809241372884,0.0478326200938555,0.0092964728262117
2013,1,NO,Norte,16808083,5059221,10922189,1242063,826673,160379,0.300999287069204,0.649817650234117,0.0738967674064913,0.0491830626966799,0.0095417782027849
