ano,codigo,sigla,local,populacao_total,populacao_0_14,populacao_15_64,populacao_60_mais,populacao_65_mais,populacao_80_mais,proporcao_0_14,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,proporcao_80_mais
2000,12,AC,Acre,587326,234672,329587,33089,23067,4921,0.399560039909692,0.561165349397098,0.0563383878799849,0.0392746106932096,0.0083786517198285
2001,12,AC,Acre,605327,239806,341784,34192,23737,5040,0.396159431183476,0.564627052816081,0.0564851724770248,0.0392135160004427,0.00832607830148
2002,12,AC,Acre,623537,244942,354144,35360,24451,5189,0.392826728806791,0.567959880488247,0.0567087438275515,0.0392133907049622,0.0083218798563677
2003,12,AC,Acre,641931,250030,366688,36615,25213,5356,0.38949669045427,0.571226502536877,0.0570388406230576,0.039276807008853,0.0083435758671882
2004,12,AC,Acre,660422,254968,379448,37918,26006,5529,0.386068301782799,0.574553845874305,0.0574148044735033,0.0393778523428959,0.008371919772509
2005,12,AC,Acre,678929,259554,392540,39278,26835,5706,0.38229918003208,0.578175332030301,0.057852882996602,0.0395254879376194,0.0084044134217274
2006,12,AC,Acre,697370,263529,406093,40732,27748,5887,0.377889785909919,0.582320719273843,0.0584080186988256,0.0397894948162382,0.0084417167357356
2007,12,AC,Acre,715533,266556,420206,42314,28771,6091,0.372527891795347,0.5872629214865,0.0591363361298501,0.0402091867181528,0.0085125354106659
2008,12,AC,Acre,733604,269036,434677,44013,29891,6301,0.366731915311258,0.59252266890584,0.0599955834482909,0.0407454157829019,0.0085891025675977
2009,12,AC,Acre,750670,270505,449079,45830,31086,6503,0.360351419398671,0.598237574433506,0.061052126766755,0.0414110061678234,0.0086629277845125
2010,12,AC,Acre,765021,270027,462652,47767,32342,6705,0.352966781304043,0.604757255029601,0.062438808869299,0.0422759636663569,0.0087644652891881
2011,12,AC,Acre,778363,269143,475568,49841,33652,6912,0.345780824628098,0.610984848971495,0.0640331053762833,0.043234326400407,0.0088801754451329
2012,12,AC,Acre,791681,268103,488586,52020,34992,7123,0.338650289700018,0.617150089493117,0.0657082840184367,0.0441996208068654,0.008997310785531
2013,12,AC,Acre,803838,265943,501517,54297,36378,7337,0.330841537722775,0.623903074997699,0.0675471923447262,0.0452553872795265,0.0091274610058245
2014,12,AC,Acre,815526,263547,514114,56691,37865,7563,0.323161983799413,0.630407859467387,0.0695146445361644,0.0464301567332004,0.0092737693218855
2015,12,AC,Acre,826677,261171,526057,59187,39449,7798,0.31592871218142,0.636351319802051,0.071596282465824,0.0477199680165288,0.0094329466042964
2016,12,AC,Acre,836294,257993,537149,61798,41152,8046,0.308495576914339,0.642296847759281,0.0738950656108976,0.0492075753263804,0.0096210184456662
2017,12,AC,Acre,844496,254287,547266,64502,42943,8313,0.30111095848885,0.648038593433243,0.0763792842121218,0.0508504480779068,0.0098437411189632
2018,12,AC,Acre,851504,250754,555957,67264,44793,8602,0.294483643059809,0.652911789022717,0.0789943441252184,0.0526045679174731,0.0101021251808565
2019,12,AC,Acre,857919,247248,563952,70082,46719,8911,0.288195039391831,0.657348770688142,0.0816883645192611,0.0544561899200274,0.0103867614541699
2020,12,AC,Acre,863657,243327,571803,72710,48527,9179,0.281740320520762,0.662071864177561,0.0841885146533867,0.0561878153016765,0.010628061834733
2021,12,AC,Acre,868346,239322,578907,75067,50117,9364,0.2756067281936,0.666677798941896,0.0864482591040898,0.0577154728645033,0.0107837198536067
2022,12,AC,Acre,872566,235340,585253,77725,51973,9618,0.269710256874552,0.670726340471666,0.0890763564016934,0.0595634026537821,0.0110226618960629
2023,12,AC,Acre,876582,230741,591561,80939,54280,10018,0.263228083624806,0.674849586233804,0.0923347730161012,0.0619223301413901,0.0114284801650045
2024,12,AC,Acre,880631,226516,597343,84391,56772,10490,0.257220106946042,0.678312482753844,0.0958301490635692,0.0644674103001144,0.0119119131622666
2025,12,AC,Acre,884372,223312,601710,87963,59350,10982,0.252509125119294,0.680381106593153,0.0994638003012307,0.0671097682875532,0.0124178513114391
2026,12,AC,Acre,887794,219598,606165,91656,62031,11503,0.247352426351158,0.682776635120309,0.103240166074562,0.0698709385285325,0.0129568345809951
2027,12,AC,Acre,890930,215269,610868,95448,64793,12050,0.241622798648603,0.685652071430977,0.10713299585826,0.0727251299204202,0.0135251927760879
2028,12,AC,Acre,893806,211318,614807,99336,67681,12627,0.23642490652334,0.687852845024535,0.111138211200193,0.075722248452125,0.0141272267136269
2029,12,AC,Acre,896444,206978,618788,103342,70678,13264,0.230887818982558,0.690269553926403,0.11527992824984,0.0788426270910397,0.0147962393635297
2030,12,AC,Acre,898869,202151,622946,107485,73772,13962,0.224894840071245,0.69303313386044,0.119578047524166,0.0820720260683147,0.0155328529518762
2031,12,AC,Acre,901074,197733,626378,111788,76963,14721,0.219441466516623,0.695146014644746,0.124060842949636,0.0854125188386304,0.0163371709759687
2032,12,AC,Acre,903058,193525,629288,116275,80245,15532,0.214299635239376,0.696841177421605,0.128756956917496,0.0888591873390192,0.0171993382484846
2033,12,AC,Acre,904839,188848,632381,120930,83610,16382,0.208708952642404,0.698887868449525,0.133648085460507,0.0924031789080709,0.0181048783264205
2034,12,AC,Acre,906441,183981,635384,125755,87076,17281,0.202970739408301,0.700965644757905,0.138734898355216,0.0960636158337939,0.0190646716112797
2035,12,AC,Acre,907854,179597,637598,130796,90659,18224,0.197825861867657,0.702313367567913,0.144071623851412,0.09986077056443,0.0200737122929458
2036,12,AC,Acre,909092,175426,639282,136106,94384,19225,0.192968368437958,0.703209356148773,0.149716420340296,0.10382227541327,0.0211474746230305
2037,12,AC,Acre,910156,171521,640369,141707,98266,20281,0.188452309274454,0.703581583816401,0.155695287401281,0.107966106909145,0.022282993245114
2038,12,AC,Acre,911045,168066,640687,147604,102292,21387,0.18447606869035,0.703244076856796,0.162016146293542,0.112279854452854,0.0234752399716809
2039,12,AC,Acre,911771,164642,640669,153745,106460,22528,0.180573850232131,0.702664375155604,0.168622384348702,0.116761774612266,0.0247079584676415
2040,12,AC,Acre,912339,161414,640101,160051,110824,23704,0.176923270845596,0.701604337861256,0.17542930862322,0.121472391293149,0.0259815704469501
2041,12,AC,Acre,912727,158393,638908,166389,115426,24921,0.173538199264402,0.699999013943928,0.182298759651024,0.126462786791669,0.027303892620685
2042,12,AC,Acre,912899,155525,637087,172660,120287,26166,0.170363862815054,0.697872382377459,0.189133737686206,0.131763754807487,0.028662535505023
2043,12,AC,Acre,912861,152789,634657,178847,125415,27475,0.167373784179629,0.695239472384076,0.195919203471284,0.137386743436295,0.0300976819033785
2044,12,AC,Acre,912599,150158,631683,184937,130758,28830,0.164538860989328,0.692180245650061,0.202648698935677,0.143280893360611,0.0315910931307179
2045,12,AC,Acre,912134,147634,628257,190875,136243,30231,0.161855604549332,0.688777087577045,0.209262016326549,0.149367307873624,0.0331431565976052
2046,12,AC,Acre,911457,145203,624511,196592,141743,31665,0.159308667331536,0.685178785175823,0.215689824094828,0.155512547492641,0.0347410793926647
2047,12,AC,Acre,910569,142848,620556,202047,147165,33134,0.156877732494737,0.681503543388804,0.221890927540911,0.161618724116459,0.0363882363664917
2048,12,AC,Acre,909477,140554,616425,207226,152498,34638,0.154543765262893,0.677779646983926,0.227851831327235,0.167676587753181,0.0380856250350476
2049,12,AC,Acre,908166,138302,612140,212133,157724,36183,0.152287136933116,0.674039768060024,0.23358394830901,0.17367309500686,0.0398418350830135
2050,12,AC,Acre,906638,136090,607765,216873,162783,37781,0.150104010641513,0.67035023901491,0.23920572488689,0.179545750343577,0.0416715381442207
2051,12,AC,Acre,904908,133923,603358,221563,167627,39452,0.147996260393322,0.666761703952225,0.244845884885535,0.185242035654453,0.0435978022075172
2052,12,AC,Acre,902958,131804,598958,226289,172196,41201,0.145969136991975,0.663328748402473,0.250608555436687,0.190702114605552,0.0456289218324662
2053,12,AC,Acre,900792,129727,594584,231072,176481,43025,0.144014378458068,0.660068029023348,0.256520928249807,0.195917592518584,0.0477635236547394
2054,12,AC,Acre,898402,127672,590231,235892,180499,44929,0.142110102159167,0.656978724446295,0.262568427051587,0.200911173394538,0.0500099064783916
2055,12,AC,Acre,895789,125644,585799,240773,184346,46940,0.140260708716003,0.653947525589173,0.268783162106255,0.205791765694823,0.0524007327618446
2056,12,AC,Acre,892957,123654,581178,245733,188125,49094,0.138476992733133,0.650846569319687,0.275190182729963,0.21067643794718,0.054979131133974
2057,12,AC,Acre,889908,121691,576280,250783,191937,51402,0.136745596173987,0.647572558062182,0.281807782377504,0.215681845763832,0.0577610269825645
2058,12,AC,Acre,886642,119768,571082,255930,195792,53858,0.135080449606493,0.644095362051425,0.288650887280323,0.220824188342082,0.0607437951281351
2059,12,AC,Acre,883156,117888,565601,261125,199667,56429,0.133484910933063,0.640431588530226,0.295672565209318,0.226083500536712,0.06389471395767
2060,12,AC,Acre,879455,116029,559834,266287,203592,59056,0.131932844773183,0.636569238903639,0.302786384749646,0.231497916323177,0.0671506785452354
2061,12,AC,Acre,875539,114201,553749,271311,207589,61649,0.130435080561803,0.632466400697171,0.309878828927095,0.237098518741027,0.0704126258224933
2062,12,AC,Acre,871410,112402,547338,276194,211670,64137,0.128988650577799,0.628106172754501,0.316950689113047,0.242905176667699,0.0736014046200985
2063,12,AC,Acre,867081,110648,540593,280905,215840,66505,0.127609761948422,0.623463090530181,0.323966273047155,0.248927147521396,0.0766998700236771
2064,12,AC,Acre,862554,108938,533555,285420,220061,68760,0.12629702024453,0.618575764531844,0.330901021849067,0.255127215223627,0.0797167481688103
2065,12,AC,Acre,857837,107264,526320,289718,224253,70863,0.125040071715256,0.61354313232001,0.337730827651407,0.261416795964735,0.082606602419807
2066,12,AC,Acre,852936,105628,518986,293676,228322,72773,0.123840475721508,0.608470037611263,0.344311882720392,0.267689486667229,0.0853205867732163
2067,12,AC,Acre,847860,104032,511567,297165,232261,74464,0.122699502276319,0.60336258344538,0.350488288160781,0.273937914278301,0.0878258203005213
2068,12,AC,Acre,842617,102488,504077,300507,236052,75931,0.121630586612898,0.598227901881875,0.356635339662029,0.280141511505227,0.0901133017729289
2069,12,AC,Acre,837209,100992,496551,303325,239666,77200,0.120629376893942,0.593102797509344,0.362304991943469,0.286267825596715,0.0922111444095799
2070,12,AC,Acre,831656,99548,489011,305019,243097,78350,0.119698529199573,0.587996719797609,0.36676101657416,0.292304751002818,0.0942096251334686
2000,13,AM,Amazonas,2850718,1108874,1635810,152950,106034,23478,0.388980600676742,0.57382385770883,0.0536531498380408,0.0371955416144284,0.0082358198881825
2001,13,AM,Amazonas,2921349,1121582,1691214,156918,108553,23968,0.383926056078887,0.578915425715996,0.0537142258593547,0.0371585182051169,0.0082044288443455
2002,13,AM,Amazonas,2990832,1132892,1746701,161146,111239,24450,0.378788243538922,0.584018426979516,0.0538799905845598,0.0371933294815623,0.0081749827472756
2003,13,AM,Amazonas,3059850,1143508,1802156,165753,114186,24952,0.373713744137785,0.588968740297727,0.0541703024658071,0.0373175155644885,0.0081546481036652
2004,13,AM,Amazonas,3129049,1153982,1857722,170735,117345,25453,0.368796397883191,0.593701792461543,0.054564501866222,0.0375018096552659,0.0081344203941836
2005,13,AM,Amazonas,3198932,1164292,1913939,176110,120701,25948,0.363962722558654,0.598305622001343,0.0550527488549303,0.0377316554400031,0.0081114571988401
2006,13,AM,Amazonas,3270286,1174473,1971463,181948,124350,26466,0.359134644492867,0.60284115823509,0.0556367241274922,0.0380241972720429,0.0080928701648724
2007,13,AM,Amazonas,3342171,1183170,2030682,188285,128319,27014,0.354012406905571,0.607593686858033,0.0563361360026163,0.0383939062363954,0.0080827701514973
2008,13,AM,Amazonas,3414261,1190388,2091287,195189,132586,27592,0.348651728734271,0.612515270508025,0.0571687401753996,0.0388330007577042,0.0080813974092783
2009,13,AM,Amazonas,3485454,1195878,2152421,202790,137155,28229,0.343105374507883,0.617543941191018,0.0581818035756604,0.0393506843010982,0.0080990883827472
2010,13,AM,Amazonas,3551196,1197454,2211574,211288,142168,28999,0.337197383642018,0.622768779870218,0.0594977016193981,0.0400338364877636,0.008165981263777
2011,13,AM,Amazonas,3611905,1196406,2267914,220668,147585,29899,0.331239609015187,0.62789968174689,0.0610946301190092,0.0408607092379229,0.00827790321174
2012,13,AM,Amazonas,3673149,1195665,2324196,230784,153288,30856,0.325514973664286,0.632752986606315,0.0628300131576476,0.0417320397293984,0.0084004215456546
2013,13,AM,Amazonas,3735289,1194812,2381040,241697,159437,31893,0.319871367382818,0.637444652876926,0.0647063721173917,0.0426839797402557,0.0085382951627036
2014,13,AM,Amazonas,3798063,1194743,2437118,253408,166202,33000,0.314566398714292,0.641673926946446,0.066720325597548,0.0437596743392619,0.0086886394459491
2015,13,AM,Amazonas,3859110,1194633,2490824,265859,173653,34184,0.309561790153688,0.645440010779687,0.0688912728582497,0.0449981990666242,0.0088580009380401
2016,13,AM,Amazonas,3914566,1192266,2540472,279051,181828,35476,0.304571694537785,0.64897922272865,0.0712852970163231,0.0464490827335648,0.0090625627464194
2017,13,AM,Amazonas,3966332,1188764,2586797,293064,190771,36909,0.299713690129823,0.65218872247709,0.0738879145769946,0.0480975873930876,0.0093055750249853
2018,13,AM,Amazonas,4018483,1186279,2631750,307894,200454,38456,0.29520567836171,0.654911318524926,0.0766194606273064,0.0498830031133639,0.0095697804370455
2019,13,AM,Amazonas,4073280,1184100,2678381,323404,210799,40073,0.290699387226019,0.657548953177783,0.0793964569094194,0.0517516595961977,0.0098380175190509
2020,13,AM,Amazonas,4121226,1179721,2721908,336940,219597,40983,0.286254866876992,0.660460746389545,0.0817572246705228,0.0532843867334623,0.0099443709226332
2021,13,AM,Amazonas,4160013,1173566,2759961,347848,226486,41071,0.28210632995618,0.663450090180007,0.0836170463890377,0.0544435798638129,0.0098728056859437
2022,13,AM,Amazonas,4199791,1165627,2798474,361392,235690,41838,0.277544049215782,0.666336491506363,0.0860499962974348,0.0561194592778545,0.0099619242957566
2023,13,AM,Amazonas,4240571,1153291,2839214,378526,248066,43612,0.271965968733928,0.669535777139447,0.089262978971464,0.0584982541266259,0.0102844640497707
2024,13,AM,Amazonas,4281209,1139934,2879855,396582,261420,45704,0.266264506124321,0.672673303265503,0.0926331790856274,0.0610621906101758,0.0106754890966547
2025,13,AM,Amazonas,4321616,1128194,2918079,415209,275343,47976,0.261058363352968,0.675228664462553,0.0960772544344523,0.0637129721844791,0.011101402808579
2026,13,AM,Amazonas,4360926,1116107,2955012,434363,289807,50393,0.25593348752077,0.677611131213875,0.0996033869870757,0.0664553812653551,0.0115555732887923
2027,13,AM,Amazonas,4399268,1101477,2993001,454029,304790,52933,0.250377335502179,0.680340683950148,0.103205578746282,0.0692819805476729,0.012032228998097
2028,13,AM,Amazonas,4436790,1085019,3031653,474197,320118,55636,0.244550452015985,0.683298736248504,0.106878396318059,0.0721508117355115,0.0125396964922838
2029,13,AM,Amazonas,4473602,1066037,3071643,494958,335922,58643,0.238295002550517,0.686615170504663,0.110639703755497,0.0750898269448199,0.01310867618532
2030,13,AM,Amazonas,4509800,1046009,3111590,516495,352201,62045,0.231941327775068,0.689961860836401,0.114527251762828,0.0780968113885316,0.0137578163111446
2031,13,AM,Amazonas,4544701,1028562,3147238,538981,368901,65821,0.226321159521826,0.692507163837621,0.1185954807588,0.0811716766405535,0.0144830209952206
2032,13,AM,Amazonas,4577617,1012363,3179271,562518,385983,69941,0.221155024546615,0.694525339275872,0.122884461500383,0.0843196361775133,0.0152789104025086
2033,13,AM,Amazonas,4608601,995052,3210119,587092,403430,74378,0.21591194377643,0.696549560267856,0.127390503104955,0.0875384959557141,0.0161389540990856
2034,13,AM,Amazonas,4637694,977198,3239184,612685,421312,79156,0.210707735352958,0.698447116174547,0.132109837345888,0.0908451484724952,0.0170679652430712
2035,13,AM,Amazonas,4664945,960034,3265109,639432,439802,84293,0.205797496004776,0.699924436408146,0.137071712528229,0.0942780675870777,0.0180694520514175
2036,13,AM,Amazonas,4690325,941916,3289338,667435,459071,89770,0.200821051846087,0.70130278818632,0.142300373641485,0.0978761599675929,0.0191393986557435
2037,13,AM,Amazonas,4713821,924914,3309659,696723,479248,95564,0.196213220654751,0.702118090610568,0.147804297193296,0.10166868873468,0.0202731499562669
2038,13,AM,Amazonas,4735419,911258,3323850,727295,500311,101614,0.192434502627962,0.701912544592147,0.153586197968965,0.105652952779891,0.0214582912304064
2039,13,AM,Amazonas,4755111,897758,3335106,758960,522247,107886,0.188798536984731,0.701372901705134,0.159609313010779,0.109828561310136,0.0226884293552769
2040,13,AM,Amazonas,4772914,884078,3343663,791350,545173,114355,0.18522814364558,0.700549601354644,0.165800179932008,0.114222254999776,0.0239591578645666
2041,13,AM,Amazonas,4789170,871107,3348835,823982,569228,121005,0.181891016606218,0.699251644857042,0.172051106976783,0.11885733853674,0.025266382275008
2042,13,AM,Amazonas,4804207,858793,3350972,856502,594442,127825,0.178758533926619,0.697507830116396,0.178281660219886,0.123733635956985,0.0266068885041798
2043,13,AM,Amazonas,4818001,846992,3350187,888807,620822,134682,0.175797389830347,0.695347925415541,0.184476300440784,0.128854684754113,0.0279539169875639
2044,13,AM,Amazonas,4830534,835573,3346754,920881,648207,141678,0.172977356126673,0.692833131906328,0.190637515438252,0.134189511967,0.0293296765947616
2045,13,AM,Amazonas,4841815,824477,3341087,952452,676251,148812,0.17028263161645,0.690048463231247,0.196713835617429,0.139668905152303,0.0307347554584386
2046,13,AM,Amazonas,4851866,813737,3333647,983203,704482,156072,0.167716297193698,0.687085546055889,0.202644302212798,0.145198156750413,0.0321674176492096
2047,13,AM,Amazonas,4860682,803355,3324794,1012946,732533,163451,0.165276189637586,0.684018004057867,0.208395858852729,0.150705806304547,0.0336271741290625
2048,13,AM,Amazonas,4868238,793251,3314672,1041493,760315,170939,0.162944169944033,0.68087714692667,0.213936335898122,0.156178683129296,0.0351131148477129
2049,13,AM,Amazonas,4874493,783310,3303384,1068967,787799,178608,0.160695686710392,0.677687710291101,0.219298089052544,0.161616602998507,0.0366413491618513
2050,13,AM,Amazonas,4879447,773483,3291218,1095882,814746,186590,0.158518578027387,0.674506352871545,0.224591434234248,0.166975069101068,0.0382399890807298
2051,13,AM,Amazonas,4883136,763793,3278496,1122898,840847,195016,0.156414443505157,0.67139149923328,0.22995427528539,0.172194057261563,0.0399366308863812
2052,13,AM,Amazonas,4885542,754247,3265376,1150481,865919,203977,0.15438348498488,0.668375381892122,0.235486871262185,0.177241133122998,0.0417511506399904
2053,13,AM,Amazonas,4886650,744832,3252034,1178727,889784,213454,0.15242180225717,0.665493538518208,0.241213714917172,0.182084659224622,0.0436810493896637
2054,13,AM,Amazonas,4886424,735506,3238350,1207433,912568,223447,0.150520298688775,0.662723906071188,0.247099514900876,0.186755795240036,0.0457281234702515
2055,13,AM,Amazonas,4884829,726215,3223868,1236478,934746,234036,0.148667435441445,0.65997561020048,0.253126158561538,0.191356954358075,0.0479107866416614
2056,13,AM,Amazonas,4881887,716953,3207973,1265629,956961,245310,0.146859810560957,0.65711742201325,0.25924995805925,0.196022767425793,0.0502490123183925
2057,13,AM,Amazonas,4877631,707733,3190225,1294673,979673,257254,0.145097691891822,0.654052141295641,0.265430697812114,0.200850166812537,0.0527415870532232
2058,13,AM,Amazonas,4872060,698593,3170509,1323592,1002958,269855,0.143387601958925,0.650753274795466,0.271669889122876,0.205859123245609,0.0553882751854452
2059,13,AM,Amazonas,4865172,689541,3149013,1352298,1026618,282982,0.141730035443762,0.64725625322188,0.277954818452462,0.211013711334358,0.0581648500813538
2060,13,AM,Amazonas,4856956,680549,3125852,1380169,1050555,296373,0.140118419849799,0.643582523704147,0.284163373108589,0.216299056446054,0.061020318075766
2061,13,AM,Amazonas,4847420,671597,3101295,1405857,1074528,309673,0.138547309702894,0.639782606004844,0.29002170226636,0.221670084292263,0.0638840867925618
2062,13,AM,Amazonas,4836566,662701,3075528,1429536,1098337,322607,0.1370189096975,0.635890836597702,0.295568384676235,0.227090253704798,0.0667016639491739
2063,13,AM,Amazonas,4824451,653931,3048537,1451677,1121983,335109,0.135545163584416,0.631893038192325,0.300899936593822,0.232561798223259,0.0694605458735097
2064,13,AM,Amazonas,4811129,645356,3020378,1472848,1145395,347178,0.13413816174956,0.627789859718997,0.306133549942228,0.238071978531442,0.0721614406930265
2065,13,AM,Amazonas,4796579,636960,2991650,1493474,1167969,358632,0.132794643849293,0.62370493637236,0.311362327191942,0.243500419778346,0.0747682879819138
2066,13,AM,Amazonas,4780850,628732,2963683,1514252,1188435,369274,0.131510505454051,0.619907129485343,0.316732798560925,0.248582365060606,0.0772402397063284
2067,13,AM,Amazonas,4763958,620667,2936310,1534467,1206981,379016,0.130283894190503,0.616359338180563,0.322099187272432,0.253356767628934,0.0795590557263519
2068,13,AM,Amazonas,4745963,612820,2909055,1554181,1224088,387749,0.129124479057253,0.612953577598477,0.327474318699914,0.25792194334427,0.0817008055056476
2069,13,AM,Amazonas,4726928,605234,2881370,1573163,1240324,395625,0.128039606272827,0.609565028280524,0.332808750207323,0.262395365446649,0.0836960072165263
2070,13,AM,Amazonas,4706869,597933,2852800,1589557,1256136,403047,0.127034128207095,0.606092925042103,0.337710057365098,0.266872946750802,0.0856295341977863
2000,14,RR,Roraima,339804,136007,193686,14981,10111,1926,0.400251321349955,0.569993290249673,0.0440871796682794,0.029755388400372,0.0056679733022566
2001,14,RR,Roraima,354478,140731,203193,15650,10554,2030,0.397009123274223,0.573217519846083,0.044149425352208,0.0297733568796935,0.0057267305728423
2002,14,RR,Roraima,368838,145157,212681,16331,11000,2131,0.393552182801121,0.576624425899718,0.044276891209691,0.0298233912991611,0.0057776042598647
2003,14,RR,Roraima,382871,149299,222103,17048,11469,2236,0.389945960911116,0.580098780006843,0.0445267466065594,0.0299552590820407,0.0058400871311747
2004,14,RR,Roraima,396533,153122,231474,17805,11937,2343,0.38615197221921,0.583744606375762,0.0449016853578391,0.0301034214050281,0.0059087137766591
2005,14,RR,Roraima,409855,156550,240884,18652,12421,2439,0.38196435324688,0.587729806882922,0.0455087774944798,0.030305839870198,0.0059508850691098
2006,14,RR,Roraima,422550,159205,250421,19576,12924,2532,0.376771979647379,0.592642290853153,0.0463282451780854,0.0305857294994675,0.0059921902733404
2007,14,RR,Roraima,434778,161184,260111,20613,13483,2636,0.370727129707575,0.598261641573401,0.047410402550267,0.0310112287190244,0.0060628642663612
2008,14,RR,Roraima,446905,162865,269923,21791,14117,2752,0.364428681710878,0.603982949396404,0.0487598035376646,0.0315883688927177,0.0061579082802832
2009,14,RR,Roraima,458716,164118,279784,23085,14814,2874,0.357776925156306,0.609928583262847,0.050325255713775,0.0322944915808474,0.0062653144865232
2010,14,RR,Roraima,469991,164843,289533,24512,15615,3003,0.35073650346496,0.616039456074691,0.0521541901866206,0.0332240404603492,0.0063894840539499
2011,14,RR,Roraima,481480,165502,299462,26080,16516,3138,0.343735980726095,0.621961452189084,0.0541663205117554,0.0343025670848218,0.0065174046689374
2012,14,RR,Roraima,493876,166387,309987,27778,17502,3276,0.336900355554836,0.627661599267832,0.0562448873806381,0.035438045177332,0.0066332439721711
2013,14,RR,Roraima,507022,167481,320950,29592,18591,3413,0.330322944566508,0.633010007455298,0.0583643313307904,0.0366670479781942,0.0067314633290074
2014,14,RR,Roraima,520569,168609,332169,31534,19791,3565,0.323893662511598,0.638088322585479,0.0605760235434688,0.0380180149029235,0.0068482756368512
2015,14,RR,Roraima,534380,169852,343410,33611,21118,3742,0.317848721883304,0.642632583554774,0.0628971892660653,0.0395186945619222,0.0070025075788764
2016,14,RR,Roraima,548233,171201,354483,35796,22549,3931,0.312277808887827,0.646591868785717,0.0652934062706915,0.0411303223264561,0.0071703089744688
2017,14,RR,Roraima,564013,173169,366712,38147,24132,4145,0.307030157106308,0.650183595058979,0.067634965860716,0.042786247834713,0.0073491213854999
2018,14,RR,Roraima,587497,177608,383879,40951,26010,4400,0.302313033087829,0.65341440041396,0.0697041857235016,0.0442725664982119,0.007489399945872
2019,14,RR,Roraima,618125,184594,405372,44167,28159,4695,0.298635389282103,0.655809100101112,0.0714531850353893,0.0455555106167846,0.0075955510616784
2020,14,RR,Roraima,640975,189733,421199,46997,30043,4924,0.296006864542299,0.657122352665861,0.0733211123678771,0.0468707827918406,0.0076820468817036
2021,14,RR,Roraima,654972,192810,430606,49290,31556,5051,0.294378996354043,0.657441844842222,0.0752551254099412,0.0481791588037351,0.0077117800455592
2022,14,RR,Roraima,673404,196704,443299,52060,33401,5255,0.292103997006255,0.658295763018931,0.0773087180949326,0.0496002399748145,0.0078036364500359
2023,14,RR,Roraima,695270,200575,458994,55434,35701,5571,0.28848504897378,0.660166554000604,0.0797301767658607,0.051348397025616,0.0080127144850202
2024,14,RR,Roraima,716793,204246,474383,59020,38164,5936,0.284944188908095,0.66181310364359,0.0823389737343975,0.0532427074483149,0.0082813308723718
2025,14,RR,Roraima,738772,208155,489827,62794,40790,6364,0.281758106695977,0.66302864753943,0.0849978071719015,0.0552132457645931,0.0086142950734462
2026,14,RR,Roraima,761012,211740,505682,66731,43590,6848,0.278234771593615,0.664486236747909,0.0876871849589757,0.0572789916584758,0.0089985440439835
2027,14,RR,Roraima,783520,214739,522221,70817,46560,7376,0.274069583418419,0.666506279354707,0.0903831427404533,0.0594241372268736,0.0094139268940167
2028,14,RR,Roraima,806316,217157,539480,75069,49679,7965,0.269319968845961,0.669067710426185,0.0931012159004658,0.0616123207278536,0.0098782611283913
2029,14,RR,Roraima,829419,219181,557268,79505,52970,8620,0.264258474908339,0.6718775431959,0.09585625600571,0.0638639818957608,0.0103928171406732
2030,14,RR,Roraima,852839,220874,575530,84150,56435,9350,0.258986748964341,0.674840151540912,0.0986704407279686,0.0661730994947464,0.0109633823031076
2031,14,RR,Roraima,875745,222193,593535,88989,60017,10146,0.253718833678754,0.677748659712588,0.101615196204375,0.0685325066086589,0.0115855642909751
2032,14,RR,Roraima,897233,222850,610729,93981,63654,11006,0.248374725405775,0.680680492135265,0.104745367145435,0.0709447824589599,0.0122666018748753
2033,14,RR,Roraima,917203,222100,627758,99122,67345,11891,0.242149229777923,0.684426457392747,0.108069860216332,0.07342431282933,0.0129644146388531
2034,14,RR,Roraima,935597,219579,644913,104410,71105,12823,0.234693997522438,0.689306400084652,0.111597194091046,0.0759996023929106,0.0137056873846325
2035,14,RR,Roraima,952319,217003,660369,109879,74947,13799,0.227867972811631,0.693432557787884,0.11538045549863,0.0786994694004845,0.0144898925675115
2036,14,RR,Roraima,967268,214614,673774,115582,78880,14817,0.22187646029849,0.696574268971991,0.119493253162515,0.0815492707295186,0.0153184019320395
2037,14,RR,Roraima,980378,212093,685379,121545,82906,15863,0.216337983920488,0.699096674955986,0.123977690237847,0.0845653411235258,0.0161804936463283
2038,14,RR,Roraima,991581,209750,694809,127749,87022,16936,0.211530878465804,0.700708262865061,0.12883365050359,0.0877608586691355,0.0170797947923569
2039,14,RR,Roraima,1000857,207016,702617,134169,91224,18044,0.206838739200505,0.702015372825489,0.134054115622911,0.0911458879740063,0.0180285495330502
2040,14,RR,Roraima,1008165,203899,708724,140733,95542,19191,0.202247647954452,0.702984134541469,0.139593221347696,0.0947682175040792,0.0190355745339305
2041,14,RR,Roraima,1014345,200784,713476,147424,100085,20391,0.197944486343404,0.703385928850638,0.145339110460445,0.0986695848059585,0.0201026278041495
2042,14,RR,Roraima,1020244,197796,717508,154256,104940,21646,0.193871270009919,0.703270982235622,0.151195204284465,0.102857747754459,0.0212164933094436
2043,14,RR,Roraima,1025868,194910,720856,161222,110102,22936,0.189995204061341,0.702679097115808,0.157156671228657,0.107325698822851,0.0223576522515567
2044,14,RR,Roraima,1031215,192140,723525,168316,115550,24274,0.1863238994778,0.701623812686976,0.163221054775192,0.112052287835224,0.0235392231493917
