ANO,CÓD.,SIGLA,LOCAL,POP_T,POP_H,POP_M,0-1_T,0-1_H,0-1_M,0-4_T,0-4_H,0-4_M,0-14_T,0-14_H,0-14_M,15-17_T,15-17_H,15-17_M,18-21_T,18-21_H,18-21_M,15-59_T,15-59_H,15-59_M,15-64_T,15-64_H,15-64_M,60+_T,60+_H,60+_M,65+_T,65+_H,65+_M,80+_T,80+_H,80+_M,P_H,P_M,P_0-1_T,P_0-1_H,P_0-1_M,P_0-4_T,P_0-4_H,P_0-4_M,P_0-14_T,P_0-14_H,P_0-14_M,P_15-17_T,P_15-17_H,P_15-17_M,P_18-21_T,P_18-21_H,P_18-21_M,P_15-59_T,P_15-59_H,P_15-59_M,P_15-64_T,P_15-64_H,P_15-64_M,P_60+_T,P_60+_H,P_60+_M,P_65+_T,P_65+_H,P_65+_M,P_80+_T,P_80+_H,P_80+_M
2010,0,BR,Brasil,194749329,95258934,99490395,2918162,1492736,1425426,14926565,7631619,7294946,48121543,24490731,23630812,10391411,5204406,5187005,13726005,6842883,6883122,125909744,61520714,64389030,132415855,64587156,67828699,20718042,9247489,11470553,14211931,6181047,8030884,2987938,1152474,1835464,0.489136134584577,0.510863865415423,0.0149841954012586,0.00766490959257682,0.00731928580868178,0.0766450137550923,0.0391868821278455,0.0374581316272468,0.247094782031316,0.125755149585137,0.121339632446179,0.0533578783216244,0.0267236145393857,0.0266342637822388,0.0704803712057976,0.0351368758759626,0.035343495329835,0.64652209405045,0.315896924091584,0.330625169958865,0.679929711080032,0.331642508508977,0.348287202571055,0.106383123918234,0.0474840609078556,0.0588990630103788,0.0729755068886527,0.0317384764904633,0.0412370303981895,0.0153424816164578,0.00591773027366888,0.00942475134278897
2011,0,BR,Brasil,196158610,95921330,100237280,2922648,1495317,1427331,14732570,7534498,7198072,47523873,24215339,23308534,10376413,5204319,5172094,13665311,6815593,6849718,127159620,62127147,65032473,133940245,65316634,68623611,21475117,9578844,11896273,14694492,6389357,8305135,3095583,1190159,1905424,0.488998826001061,0.511001173998939,0.0148994122664307,0.00762299957162217,0.00727641269480855,0.075105395577589,0.0384102334330367,0.0366951621445523,0.242272684334376,0.123447749757199,0.118824934577177,0.0528980756949695,0.026531178009469,0.0263668976855005,0.0696645994789625,0.034745316557861,0.0349192829211014,0.648248985858943,0.31671893984159,0.331530046017353,0.682816038510876,0.332978674757126,0.34983736375375,0.10947832980668,0.0488321364022716,0.0606461934044088,0.0749112771547474,0.0325724014867357,0.0423388756680117,0.0157810202672215,0.00606732990206242,0.00971369036515909
2012,0,BR,Brasil,197670620,96643211,101027409,2935674,1502269,1433405,14645770,7492554,7153216,46963290,23955418,23007872,10358810,5206141,5152669,13659509,6817344,6842165,128433847,62759770,65674077,135492473,66072698,69419775,22273483,9928023,12345460,15214857,6615095,8599762,3204689,1228388,1976301,0.488910344895969,0.511089655104031,0.0148513420962609,0.00759985980718834,0.0072514822890726,0.0740917896650499,0.037904236856241,0.0361875528088089,0.237583561988119,0.121188561051713,0.116395000936406,0.052404398792294,0.0263374547011589,0.026066944091135,0.0691023734331384,0.0344884029806756,0.0346139704524628,0.64973665282175,0.317496702342513,0.332239950479237,0.685445682317382,0.334256542525136,0.351189139792246,0.112679785190131,0.0502250815017426,0.0624547036883883,0.0769707556944983,0.0334652413191197,0.0435055143753786,0.0162122676602117,0.00621431753489719,0.00999795012531453
2013,0,BR,Brasil,199226702,97392749,101833953,2922850,1495732,1427118,14585062,7463884,7121178,46410157,23695573,22714584,10334996,5206596,5128400,13675025,6831736,6843289,129700982,63400677,66300305,137041821,66838429,70203392,23115563,10296499,12819064,15774724,6858747,8915977,3318206,1268870,2049336,0.488853893691419,0.511146106308581,0.0146709751788192,0.00750768840212995,0.0071632867766892,0.0732083694283109,0.0374642752455943,0.0357440941827165,0.232951489605043,0.118937736569067,0.114013753035976,0.0518755563197548,0.0261340269538769,0.0257415293658779,0.0686405228953697,0.0342912668403254,0.0343492560550443,0.651022080363505,0.318233832932696,0.332788247430809,0.687868742614632,0.335489311066345,0.352379431548287,0.116026430031452,0.0516823241896561,0.0643441058417962,0.0791797677803249,0.0344268460560071,0.0447529217243179,0.0166554280459855,0.00636897558039183,0.0102864524655937
2014,0,BR,Brasil,200811131,98158110,102653021,2952907,1511087,1441820,14577213,7461659,7115554,45905974,23457090,22448884,10300245,5201418,5098827,13681335,6843855,6837480,130906461,64017832,66888629,138534751,67583029,70951722,23998696,10683188,13315508,16370406,7117991,9252415,3437363,1312449,2124914,0.488808112932744,0.511191887067256,0.0147048970109132,0.00752491653463174,0.00717998047628147,0.0725916582781459,0.0371575966075307,0.0354340616706153,0.228602736170038,0.116811702036577,0.111791034133461,0.0512931974871453,0.0259020402609057,0.0253911572262396,0.0681303617576856,0.0340810540029278,0.0340493077547579,0.651888470266123,0.318796232465819,0.333092237800304,0.689875856533072,0.336550213444094,0.353325643088978,0.119508793563839,0.0532001784303481,0.0663086151334908,0.0815214072968893,0.0354461974520725,0.0460752098448168,0.0171173927604641,0.00653573830028376,0.0105816544601803
2015,0,BR,Brasil,202403642,98927365,103476277,3012970,1541887,1471083,14679432,7515065,7164367,45501725,23266404,22235321,10232071,5177895,5054176,13664092,6846831,6817261,131984299,64575261,67409038,139904894,68270728,71634166,24917618,11085700,13831918,16997023,7390233,9606790,3561931,1359232,2202699,0.488762771373452,0.511237228626548,0.0148859475562204,0.0076178816979983,0.00726806585822206,0.0725255329150648,0.0371290996829,0.0353964332321649,0.224806849078338,0.114950520504962,0.109856328573376,0.0505528008236136,0.0255820248530903,0.0249707759705233,0.0675091212044495,0.0338276077067823,0.0336815134976672,0.652084605276026,0.319041991349148,0.333042613926878,0.6912172756259,0.337299898981067,0.353917376644833,0.123108545645636,0.0547702595193421,0.0683382861262941,0.0839758752957617,0.0365123518874231,0.0474635234083387,0.0175981566576752,0.00671545228420346,0.0108827043734717
2016,0,BR,Brasil,203871925,99630921,104241004,2948637,1508957,1439680,14705019,7528358,7176661,45102859,23073680,22029179,10100360,5121923,4978437,13630696,6843723,6786973,132897678,65053702,67843976,141113877,68882032,72231845,25871388,11503539,14367849,17655189,7675209,9979980,3694903,1410506,2284397,0.488693678641628,0.511306321358372,0.0144631831969998,0.00740149483554442,0.00706168836145536,0.0721287102184374,0.0369268990813718,0.0352018111370656,0.221231339234179,0.113177329345372,0.108054009888806,0.0495426724400626,0.0251232385234014,0.0244194339166612,0.0668591126512393,0.0335687368429959,0.0332903758082433,0.651868461044845,0.319091027369266,0.332777433675578,0.692169247923666,0.337869140147669,0.354300107775997,0.126900199720977,0.0564253219269892,0.0704748777939876,0.0865994128421557,0.0376472091485868,0.0489522036935689,0.0181236479716371,0.00691858871691137,0.0112050592547257
2017,0,BR,Brasil,205211557,100267821,104943736,2883226,1475547,1407679,14647172,7498483,7148689,44705195,22877503,21827692,9913320,5038001,4875319,13576004,6830968,6745036,133644472,65453342,68191130,142157814,69416293,72741521,26861890,11936976,14924914,18348548,7974025,10374523,3838238,1466442,2371796,0.488607086588208,0.511392913411792,0.0140500176605551,0.00719036988740356,0.00685964777315149,0.0713759605654179,0.0365402568433317,0.0348357037220862,0.217849304656852,0.111482527273062,0.10636677738379,0.0483078055881619,0.024550279105382,0.0237575264827799,0.066156137590243,0.0332874429679416,0.0328686946223014,0.651252170948637,0.318955437777805,0.332296733170832,0.692737855889861,0.338266976844779,0.354470879045082,0.130898524394511,0.0581691215373411,0.0727294028571695,0.0894128394532867,0.0388575824703674,0.0505552569829193,0.0187038101367751,0.00714600104125715,0.0115578090955179
2018,0,BR,Brasil,206529038,100895555,105633483,2920425,1494702,1425723,14636517,7492920,7143597,44400860,22726003,21674857,9708689,4945321,4763368,13481295,6798059,6683236,134238660,65783221,68455439,143049781,69881775,73168006,27889518,12386331,15503187,19078397,8287777,10790620,3988955,1525720,2463235,0.488529632331895,0.511470367668105,0.0141405055109006,0.00723724864297291,0.0069032568679277,0.070869051353447,0.0362802251565225,0.0345888261969244,0.214986039880745,0.110037809792151,0.104948230088594,0.0470088327240453,0.0239449185833132,0.0230639141407321,0.0652755425123318,0.0329157539580463,0.0323597885542855,0.64997475076604,0.318518023601117,0.331456727164923,0.692637618347886,0.338362952138478,0.354274666209407,0.135039209353215,0.0599737989386267,0.0750654104145878,0.0923763417713687,0.0401288704012653,0.0522474713701034,0.0193142573975481,0.00738743575612839,0.0119268216414197
2019,0,BR,Brasil,207900099,101551234,106348865,2885318,1476538,1408780,14570633,7458700,7111933,44121683,22584439,21537244,9536699,4867395,4669304,13349554,6746688,6602866,134827655,66116548,68711107,143936438,70350799,73585639,28950761,12850247,16100514,19841978,8615996,11225982,4140204,1585447,2554757,0.488461691401119,0.511538308598881,0.0138783868496378,0.00710215150017798,0.00677623534945984,0.0700847814411094,0.0358763657923992,0.0342084156487102,0.21222540639579,0.108631208492113,0.103594197903677,0.0458715462179746,0.0234121822135352,0.0224593640044395,0.0642113883745673,0.0324515862784654,0.0317598020961019,0.648521360251974,0.318020762462456,0.330500597789518,0.692334629431802,0.338387520440767,0.353947108991035,0.139253233352236,0.0618097204465497,0.0774435129056865,0.0954399641724076,0.0414429624682382,0.0539970017041695,0.0199143916713575,0.00762600406457719,0.0122883876067803
