ANO,CÓD.,SIGLA,LOCAL,POP_T,POP_H,POP_M,TCG_T,TCG_H,TCG_M,RS,NASC_T,NASC_H,NASC_M,OBT_T,OBT_H,OBT_M,TBN,TBM,TCV,e0_T,e0_H,e0_M,e60_T,e60_H,e60_M,TMI_T,TMI_H,TMI_M,5q0_T,5q0_H,5q0_M,45q15_T,45q15_H,45q15_M,20q60_T,20q60_H,20q60_M,TFT,TEF_10-14,TEF_15-19,TEF_20-24,TEF_25-29,TEF_30-34,TEF_35-39,TEF_40-44,TEF_45-49,TEF_50+,RDJ60,RDI60,RDT60,RDJ65,RDI65,RDT65,IE60,IE65,IE80,ID_M,ID_MED
2010,0,BR,Brasil,194749329,95258934,99490395,0.815478639168665,0.78327978425492,0.8463273193622939,95.7468648104171,2947296,1509592,1437704,1203988,686297,517691,15.1337928358151,6.1822446638571,8.95154817195801,74.3604259197093,70.6742833304223,78.1153757397768,21.4051862998347,19.5800140647919,23.0723713887469,14.9909728655381,16.3148338273936,13.6010253881894,17.4709174011081,18.9666571866637,15.9006903673605,153.3388663898,207.413261725779,99.385625552139,428.403472047878,506.135642487956,357.743508866964,1.74571102459612,0.00311318063268373,0.0624832568204077,0.0939044129907023,0.0834808299158579,0.0624775393515437,0.0335200327558772,0.00928404199380906,0.000778532280296575,0.000100378178044816,38.2190777863864,16.4546772488077,54.6737550351941,36.3412243949186,10.7328015969085,47.074025991827,43.0535695831698,29.5334066906375,6.20914836417444,31.3266962835081,29.1771712545837
2011,0,BR,Brasil,196158610,95921330,100237280,0.723638436772234,0.695363649565928,0.750710659054077,95.6942666441069,2987758,1530309,1457449,1223084,696135,526949,15.2313375385358,6.23517876681528,8.9961587717205,74.5367059052758,70.8414005360073,78.294954561328,21.5150487782921,19.6929823157031,23.1737301852263,14.7570274196399,16.0583818610996,13.390227472923,17.1281448121864,18.6032536270508,15.5789958210193,151.326846503696,205.225973741055,97.5816039802598,423.51545387095,500.650684377809,353.490005546781,1.7696171333789,0.00313910971542267,0.0634080773009522,0.0933970403969672,0.0843499595461201,0.0642491594742009,0.035056588752052,0.00946202268966285,0.000763520492170774,9.79483082321216e-05,37.3733996688571,16.8883148597015,54.2617145285587,35.4813991866298,10.9709311043891,46.452330291019,45.1880615874889,30.9202324482266,6.51374310338722,31.6646394313255,29.6376275267471
2012,0,BR,Brasil,197670620,96643211,101027409,0.770809907349967,0.752576095431534,0.78825861994658,95.6603875686845,2967887,1520147,1447740,1239965,704033,535932,15.0143051101878,6.27288466035064,8.74142044983721,74.7565388954452,71.0741957663088,78.4935314342807,21.6503889461581,19.8293614133471,23.3027428807382,14.266873449257,15.3806095316587,13.0970490739178,16.555287195091,17.8280402038475,15.2185250959744,149.327269897147,202.737694319455,96.0996578182133,418.044897437128,494.396384882298,348.817964901545,1.75698467190251,0.00324198405561825,0.0631097156348447,0.0911864523989664,0.0827452181951519,0.0652953231950911,0.0353928250613278,0.00959574699596876,0.000726602614438751,0.000103066229094631,36.5661319792126,17.3423778235032,53.9085098027158,34.661180034702,11.2293005383406,45.8904805730426,47.4274332143255,32.3973405611063,6.82381707073759,31.9943632442697,30.0874528496664
2013,0,BR,Brasil,199226702,97392749,101833953,0.7872095509185989,0.775572326544482,0.798341764857091,95.6387787479879,2959324,1515754,1443570,1253975,711279,542696,14.8540530475679,6.29421150584524,8.55984154172265,74.9991901710197,71.2946676159169,78.7562414344038,21.8116626327031,19.9895596984725,23.460037310907,13.9501006337899,15.2095242071671,12.6268753684999,16.1592625423804,17.5558834848448,14.6918464365874,146.713689484619,199.748790779257,93.8507053921476,411.65069760046,487.724473079409,342.733266909572,1.7505649875546,0.00328664000313563,0.0632122976120798,0.0891602760998179,0.0821972022246133,0.0661751281868363,0.0356639906011357,0.0096209826700215,0.000704685539620329,9.17945736586497e-05,35.7824253019148,17.8221958257803,53.6046211276951,33.8656890731188,11.5108832361473,45.3765723092661,49.8071208851976,33.9898096013767,7.14974095002523,32.3219073364975,30.5341647475806
2014,0,BR,Brasil,200811131,98158110,102653021,0.795289478816952,0.785850084178241,0.8043172005706151,95.6212579462225,3025813,1549805,1476008,1275417,720690,554727,15.0679545746894,6.3513262120913,8.71662836259809,75.1981752438586,71.5290201478401,78.9124575572772,21.8772590201852,20.0586745452495,23.5194076155022,13.4671494565605,14.6414081314827,12.2336329314284,15.5833620379621,16.8837616545529,14.2172153294187,144.173503070061,196.301451809237,92.2539940388112,408.314040359916,483.802566506583,339.968583137427,1.78994618138214,0.00342591866084721,0.0635123468138297,0.089762787986584,0.0849434090894086,0.0680091844189153,0.0375257668097215,0.00999245435426258,0.000719178025119266,9.81901177397869e-05,35.0677679690692,18.3327055186375,53.4004734877066,33.1367932368103,11.8168227696168,44.9536160064272,52.2779366363079,35.6607312155059,7.48783371854827,32.6415829210185,30.9726230191104
2015,0,BR,Brasil,202403642,98927365,103476277,0.793039206576651,0.783689702256907,0.801979320218926,95.6039083238374,3079394,1577246,1502148,1301933,732885,569048,15.2141234691814,6.43235955210727,8.78176391707418,75.3487176945349,71.7099867807423,79.027527005952,21.9153369679256,20.1017239675936,23.5505900137053,12.7135016400802,13.7746930108231,11.5988885877524,14.8098475752674,15.9960494667787,13.5637780197135,142.509937899538,193.919522186985,91.315021269304,405.818882630812,480.824754371903,337.901483360453,1.82366084069548,0.00350271900240722,0.0630215020819615,0.0907370027069769,0.0870964727905659,0.070167372355215,0.039054680948277,0.0103811419987404,0.000703633379345143,6.76428756078487e-05,34.4751044970887,18.8792289604084,53.3543334574971,32.5233261675607,12.1489838661398,44.6723100337005,54.7619194656906,37.3546783116464,7.82812299973243,32.9491130451101,31.4026984445338
2016,0,BR,Brasil,203871925,99630921,104241004,0.725423211505261,0.711184412927612,0.739036059443854,95.577476402664,2894065,1482330,1411735,1321038,741135,579903,14.1955053399334,6.4797445749335,7.71576076499989,75.5531758399377,71.942226494943,79.1982217854637,21.9914464652121,20.1767711340767,23.6249837205612,12.2693832511189,13.3546411622541,11.1294592349752,14.3057341158471,15.5141290466576,13.0363090238588,139.722752493619,189.939820925493,89.7376269831728,402.239979950312,476.845400156198,334.767980377876,1.71855053311857,0.00318994690961219,0.0579060901770532,0.0864763393326508,0.0816796938559136,0.0661795295626617,0.0374317553634042,0.010122588531363,0.000665468594462006,5.86942965936357e-05,33.938033891006,19.4671482522065,53.4051821432125,31.9620295033067,12.5113060283929,44.4733355316997,57.3608604279387,39.1442790799581,8.19217025687884,33.2655005636504,31.840508474527
2017,0,BR,Brasil,205211557,100267821,104943736,0.657094889352705,0.639259372097944,0.674141626648184,95.5443600750025,2949789,1510871,1438918,1339371,749563,589808,14.3743804838438,6.5267815301455,7.8475989536983,75.7228398564015,72.1444627502095,79.3284809177374,22.1022493514845,20.266579666749,23.7536655395801,12.7138227427479,13.6613226939801,11.7187443464025,14.7690447807546,15.8286729630264,13.656092703202,136.806354798395,185.923910254096,87.9552426148408,398.113060092021,472.783210447036,330.655321760542,1.75866754164944,0.0029678778337798,0.0562744384561915,0.0874892630539908,0.0841501185473469,0.0690464810245103,0.040292752892559,0.0107538464640598,0.000704070693190407,5.46593642596121e-05,33.4508373829334,20.0995144789827,53.5503518619161,31.4475819106222,12.9071680857445,44.3547499963667,60.0867304124275,41.0434357796672,8.58566437301079,33.591842383419,32.2879434803493
2018,0,BR,Brasil,206529038,100895555,105633483,0.642011112463803,0.626057287113091,0.657254092802639,95.5147479137841,2968734,1520572,1448162,1355080,753907,601173,14.3744145072714,6.56120811447347,7.8132063927979,75.9902268405237,72.4915855888579,79.5018106929432,22.2067809728665,20.3834768087969,23.8416942143351,12.4522364098828,13.411280712157,11.4448532171483,14.474687311319,15.5730107328169,13.3208917897283,133.026311313395,180.329919878127,86.077721131132,393.49878909129,467.469317566726,326.863964415863,1.77923455058482,0.00287550026507133,0.054277108895298,0.0870122850638583,0.0846429551786065,0.071724076099834,0.0430754792804956,0.0114375595438122,0.000735032217425659,6.6913572562323e-05,33.076060205011,20.776070023345,53.852130228356,31.0387472735802,13.3368935391799,44.3756408127601,62.8130130812782,42.9685303392772,8.98395886926514,33.9111158354401,32.7288229005876
2019,0,BR,Brasil,207900099,101551234,106348865,0.663858706396536,0.649859153854693,0.677230343715918,95.4887802516745,2871160,1470595,1400565,1376835,760407,616428,13.8102868339663,6.62257981897354,7.18770701499281,76.2211006556923,72.8356367931011,79.6029293701495,22.254799621507,20.4392294864907,23.8795912415689,12.0787604513552,13.1075613038267,10.9982695799692,14.0860472084483,15.3191916189916,12.7907211413383,129.745143772341,174.698952797704,85.3088784443573,390.85778360621,464.496143950198,324.651768505677,1.72939750347996,0.00265771154827314,0.0508590302375418,0.0842618904995807,0.0821310197980089,0.0707858800504075,0.0425773195037974,0.0117579979140982,0.000780208672956199,6.84424713281539e-05,32.7245052211284,21.4724204763481,54.1969256974765,30.6535882178771,13.7852362304533,44.4388244483305,65.6157223195679,44.9710361229874,9.38360397539686,34.2274693048607,33.1588570117555
2020,0,BR,Brasil,209164889,102140954,107023935,0.608364308667309,0.580711801099332,0.634769350852959,95.437486950933,2749189,1408127,1341062,1583422,886181,697241,13.1436447730001,7.5702093576518,5.57343541534832,74.8090053456845,71.1851739688098,78.5162749906627,21.1696147339719,19.159501709393,23.0315407629947,11.4258267862884,12.3497424231742,10.4556414547425,13.0208276706083,14.0434484201967,11.9469260377453,147.531566956156,198.060259953285,97.2849185139654,432.217599077878,517.295018480721,353.67316567272,1.66349379144432,0.00245184792109912,0.0471443675330486,0.08131542397014,0.0799657496391885,0.0682195546796603,0.0411281518789011,0.0116429965163837,0.000760914812432291,6.97513380096303e-05,32.3410390952189,22.1419246187879,54.4829637140068,30.2427692876556,14.2174200315754,44.460189319231,68.4638627522057,47.0109727596229,9.75068437159523,34.5380401583556,33.5717801005236
2021,0,BR,Brasil,210103642,102550853,107552789,0.448810029488267,0.401307197502776,0.49414553856574905,95.349320044132,2690146,1377885,1312261,1864108,1029715,834393,12.8038998962236,8.87232597329274,3.93157392293086,72.7843019207654,69.2527373154948,76.4240122660354,20.0840385466633,18.1792912005084,21.8510176190166,12.1730387194781,13.24783717714,11.0443092892582,13.9345031719029,15.1474410966982,12.6605976772409,181.508418401545,235.946798407443,127.121207905295,475.424534702122,559.457979542182,397.361314236384,1.63670199704343,0.00245696639914306,0.0455816003750767,0.0804501605452137,0.0793191235246325,0.0663680339236782,0.0405455711520547,0.0117947149592282,0.000760426774472683,6.38017551862852e-05,31.9541599071346,22.7554849085788,54.7096448157133,29.8336146928314,14.6091729163729,44.4427876092043,71.2129030295614,48.9688328645047,10.040020380045,34.8290491128183,33.9595256497703
2022,0,BR,Brasil,210862983,102875114,107987869,0.361412583224041,0.316195322139357,0.404526934210891,95.2654357870512,2574542,1318672,1255870,1570240,857443,712797,12.2095493641006,7.44673141610635,4.76281794799422,75.448044104081,72.108304208657,78.7931775206842,21.6193857538322,19.829336215637,23.2206227645514,12.4213105471151,13.3573919298834,11.4385863766704,14.6642016623817,15.7369909118698,13.5378996784228,134.977593664661,181.405294619378,88.9533391551677,410.230341132294,485.642326500478,342.635576230134,1.57625383660638,0.0020267728569316,0.0402435619219107,0.0764919582879292,0.0779918911896749,0.0652671115511785,0.0403013566155915,0.0120424161708243,0.000821699450051236,6.39992771846342e-05,31.6028205002464,23.4273377545884,55.0301582548348,29.455708747939,15.0416214402223,44.4973301881613,74.1305281736031,51.0652164880426,10.3300148049356,35.1394318745837,34.3645155433075
2023,0,BR,Brasil,211695158,103251553,108443605,0.3946520096417269,0.365918428046652,0.422025181365515,95.2122100699253,2544393,1303226,1241167,1485814,811111,674703,12.0191364981527,7.01864895747875,5.00048754067393,76.3884546784577,73.0695671150985,79.6817511931674,22.4707736848205,20.6878019876756,24.0388368001838,12.4636838492714,13.4645053786955,11.4125900009007,14.667815311189,15.7994373812514,13.4793655922778,128.702499125075,173.027975157456,84.7764600212989,381.353372966311,453.525342968705,317.402403226383,1.57053296169407,0.00198009148559245,0.0391395980833186,0.0756784783912898,0.0784491729796608,0.0650396473789734,0.0406939051361568,0.0122128424801661,0.000849861157988321,6.29952456674189e-05,31.2265056799917,24.2177662665614,55.4442719465531,29.0529444706494,15.5714284074671,44.6243728781165,77.5551594364878,53.5967306969455,10.75313166533,35.4898990179076,34.8087947097212
2024,0,BR,Brasil,212583750,103662286,108921464,0.41975074366131804,0.397798375003622,0.44065207902301806,95.1715871171177,2486125,1273381,1212744,1507335,821529,685806,11.6948026366079,7.09054666690187,4.60425596970606,76.6057109845871,73.301663971919,79.8816919699918,22.5909397271293,20.800144340642,24.1644660434869,12.2488303378121,13.2406159602844,11.2073108710854,14.4139577101566,15.5323919546949,13.2394397408949,126.272280507558,169.871417157034,83.0302180625268,376.999918630167,449.076639841486,313.273502722213,1.54680260681053,0.00185037071207256,0.0376579016191725,0.0740138031903002,0.0775563198605949,0.0646759994015531,0.0405443700922018,0.0121634863166561,0.000842767054926665,5.55031146270571e-05,30.8410707155661,25.0584928393582,55.8995635549243,28.6446041080728,16.1519666672159,44.7965707752887,81.2503984393471,56.3874669249271,11.2976842283077,35.8504918367467,35.2511418612686
2025,0,BR,Brasil,213421037,104046624,109374413,0.39386218372758897,0.370759718727398,0.415849166331439,95.1288524858186,2436737,1248085,1188652,1530908,832856,698053,11.4175108239213,7.17318227630953,4.24432854761173,76.8177485210878,73.5283486102117,80.0771989276498,22.7076513090262,20.9095562193879,24.2866404020851,12.0402277339796,13.0256379939106,11.005421632955,14.1676965177665,15.2761130928817,13.0037132546077,123.89839172565,166.78555170902,81.3215561097728,372.710301920161,444.685944880461,309.219418317836,1.52847110399664,0.00172968438835218,0.0362474301387863,0.072581769737972,0.0769443818834323,0.0645709823915506,0.0405676263965286,0.0121642490347539,0.000839000117154364,4.90967107981504e-05,30.4720689849309,25.919187119983,56.3912561049139,28.2556537495457,16.7603339781741,45.0159877277198,85.0588357909027,59.3167446300675,11.9185407710006,36.2133286982389,35.6912944319663
2026,0,BR,Brasil,214211951,104407312,109804639,0.370588584479603,0.346659974282293,0.39335159677611503,95.0846093123625,2393079,1225723,1167356,1555864,844746,711118,11.1715475669236,7.26319886792871,3.90834869899486,77.0272472172583,73.7533472650532,80.2693497868345,22.8221434534438,21.0174608515867,24.4061772963829,11.8289603033109,12.8061857412768,10.8027664433968,13.9186719603082,15.0150022493114,12.7673869272666,121.562132148209,163.738656066058,79.6501227250508,368.475986014935,440.329229671419,305.241662841877,1.51291796111521,0.00162053725152595,0.0349102379195421,0.0712999358846124,0.0764603346564219,0.0645690120273671,0.0406579001645468,0.0121855453091104,0.000836583672833161,4.35053370825152e-05,30.0634056259973,26.7754263515832,56.8388319775805,27.8370319294474,17.3869532654205,45.2239851948679,89.063184273538,62.459795676089,12.6255105771961,36.5767573584165,36.128295846246
2027,0,BR,Brasil,214959713,104746113,110213600,0.349075761884077,0.324499303267189,0.372444191542765,95.0391902632706,2353365,1205382,1147983,1581514,856858,724656,10.9479351602968,7.35725768297802,3.59067747731874,77.23414186838,73.9763576387688,80.4581511548536,22.9350107435848,21.1243073506444,24.5235917831059,11.6220270066558,12.5904381191635,10.6051022499644,13.6742990607149,14.7578132139793,12.5364819354018,119.262901842724,160.731249763628,78.0151167478975,364.300473104594,436.007156775466,301.338918502247,1.49970775122188,0.0015214068530466,0.0336529254404042,0.0701280553263174,0.0760825938892606,0.064654213903497,0.0408040460266279,0.0122244309496014,0.000835272702589639,3.86051530318849e-05,29.6113237176677,27.6164866276859,57.2278103453536,27.3861393851654,18.0265672670906,45.412706652256,93.2632626997641,65.8236891792617,13.4112503207116,36.9397556183004,36.5630245486499
2028,0,BR,Brasil,215667282,105064770,110602512,0.329163539588473,0.304218448659754,0.352871152017542,94.9931137187915,2317618,1187073,1130546,1607331,868940,738392,10.7462660933428,7.45282726751293,3.29343882582987,77.4386461242596,74.1975357706504,80.6437221288881,23.046586232741,21.2303902442945,24.6391085133861,11.4193954521192,12.3784050443874,10.412356803538,13.4361212751831,14.5062863292796,12.3123465910068,116.999628172759,157.76297695678,76.415806007575,360.185797892782,431.717727971335,297.508306300065,1.48851452129397,0.00143199527902124,0.032472758703281,0.0690467792540337,0.0757935695151039,0.0648127878577061,0.0409975655577071,0.0122782768632503,0.000834874653424852,3.42965752657327e-05,29.1450743496672,28.4450830326896,57.5901573823567,26.9282641099296,18.6753918699678,45.6036559798974,97.5982517368819,69.3523793205869,14.2621116533985,37.3016013064049,36.9948896613702
2029,0,BR,Brasil,216337693,105364951,110972742,0.310854290823781,0.285710424150731,0.334739232685788,94.9466951082456,2286158,1170959,1115199,1634064,881329,752735,10.5675435856663,7.55330232720934,3.01424125845698,77.640714331391,74.4169189676719,80.826106962756,23.1566948521825,21.3356379460685,24.7526464392402,11.2209386095036,12.1700025056838,10.2243598264973,13.2023649839584,14.2586031984593,12.0932392797299,114.771792400957,154.833535775438,74.8517205831118,356.133949453582,427.460077525512,293.745876668746,1.47909330042681,0.00135059854407489,0.0313749058991465,0.0680392127393134,0.0755782109162144,0.0650334264280253,0.0412317868761277,0.0123447796631788,0.000835241876180585,3.04971431010788e-05,28.62956986248,29.2573635838407,57.8869334463207,26.4310875843926,19.3316111357125,45.7626987201051,102.192815764876,73.1396734015881,15.2040735975583,37.661535888709,37.4259725973097
2030,0,BR,Brasil,216973093,105648021,111325072,0.293707486286277,0.26865669970273,0.317492380245943,94.9004739920581,2258237,1156658,1101579,1662329,894304,768025,10.4079126530219,7.66145228892506,2.74646036409685,77.8402061439966,74.6344510292928,81.0052744231703,23.2651601398667,21.4399821665791,24.864125695137,11.0265130603504,11.9651165728462,10.0409291909428,12.9727892239651,14.0145321699338,11.8789034645911,112.578653949677,151.942135807885,73.3219652418158,352.14772342885,423.235795479539,290.050505964025,1.4711477422993,0.00127572081841878,0.030354764124503,0.0670832378805742,0.0754219880876537,0.0653074393758498,0.0415008410391682,0.0124221653966309,0.00083625385702887,2.71378800330382e-05,28.0412726193537,30.0513283225025,58.0926009418562,25.8707638410239,19.9848255075545,45.8555893485784,107.168204276726,77.2486874773451,16.2645884570762,38.0186720203136,37.8535443875922
