ano,codigo,sigla,local,populacao_total,populacao_0_14,populacao_15_64,populacao_60_mais,populacao_65_mais,populacao_80_mais,proporcao_0_14,proporcao_15_64,proporcao_60_mais,proporcao_65_mais,proporcao_80_mais,taxa_crescimento,expectativa_vida,expectativa_vida_60,taxa_fecundidade,razao_dependencia_jovens,razao_dependencia_idosos,razao_dependencia_total,indice_envelhecimento,idade_media,idade_mediana
2029,0,BR,Brasil,216337693,39228421,148417733,40088628,28691539,5964318,0.181329570709622,0.686046573492859,0.185305794122525,0.132623855797519,0.0275694813848274,0.310854290823781,77.640714331391,23.1566948521825,1.47909330042681,28.62956986248,29.2573635838407,57.8869334463207,102.192815764876,37.661535888709,37.4259725973097
2030,0,BR,Brasil,216973093,38485050,148758847,41243737,29729196,6259435,0.177372454196429,0.685609652990475,0.190086874043871,0.137017892813096,0.0288488997112651,0.293707486286277,77.8402061439966,23.2651601398667,1.4711477422993,28.0412726193537,30.0513283225025,58.0926009418562,107.168204276726,38.0186720203136,37.8535443875922
2031,0,BR,Brasil,217562970,37780666,149021283,42397965,30761021,6571278,0.173653935685838,0.684957017271827,0.194876752234077,0.141389047042334,0.0302040278269781,0.271866429078371,78.0372520305259,23.3721354943434,1.46443451655583,27.4999801833308,30.860842879624,58.3608230629548,112.221327702376,38.3731121155406,38.2801536278335
2032,0,BR,Brasil,218096284,37115134,149203771,43555940,31777379,6898087,0.170177745898688,0.684118813321918,0.199709684187008,0.145703440779394,0.031628631508458,0.245130869467358,78.2319729941954,23.477705085614,1.4588086296593,27.0075148511689,31.6942866596311,58.7018015107999,117.35358412016,38.7251820026425,38.7058432132377
2033,0,BR,Brasil,218574144,36385497,149413458,44713297,32775189,7238414,0.166467526003442,0.683582491806533,0.204568098411494,0.149949982190025,0.0331165153733829,0.219105062789615,78.4242408388393,23.5818691966023,1.45418582667768,26.4669244340895,32.5245922268974,58.9915166609869,122.887690664223,39.0744551377495,39.1302362730447
2034,0,BR,Brasil,218997707,35667255,149571434,45872706,33759018,7594670,0.162865883340048,0.682981735511961,0.209466604141202,0.154152381147991,0.0346792215500229,0.193784585975543,78.613898232294,23.6844672173361,1.4504602919238,25.9477956229546,33.3722233449107,59.3200189678652,128.612942038853,39.4203899221648,39.553381171479
2035,0,BR,Brasil,219367247,35038916,149594746,47051618,34733585,7968781,0.15972719938451,0.681937472643763,0.214487890254647,0.158335327971728,0.0363262114512473,0.168741492804769,78.8009254366711,23.785458674198,1.44749034183201,25.5242970451951,34.2750179340323,59.7993149792274,134.283885951266,39.7624118608737,39.9739565614313
2036,0,BR,Brasil,219681891,34483378,149495429,48270206,35703084,8357822,0.156969597462178,0.680508658767873,0.219727742602143,0.16252174376995,0.0380451113287258,0.143432533481169,78.9854717882768,23.885090415936,1.44518318973101,25.1835276105473,35.2521747019044,60.4357023124517,139.981083059786,40.1001219531563,40.3926496225391
2037,0,BR,Brasil,219940741,33997686,149271248,49540659,36671807,8758972,0.154576572968807,0.678688483640236,0.225245485555584,0.166734943390956,0.0398242361109441,0.117829466426067,79.1677481011686,23.9835114730292,1.4434392198299,24.9245519118301,36.3194932440923,61.2440451559223,145.717737966049,40.4333310625702,40.808199621757
2038,0,BR,Brasil,220144140,33559616,148948749,50866243,37635775,9170052,0.152443830664764,0.676596474473497,0.231058809923353,0.170959694861739,0.0416547631020294,0.0924790009687149,79.3477760541043,24.0807368046454,1.4421463467947,24.727410156337,37.4792862282127,62.2066963845497,151.569800441102,40.7618126968994,41.2208293659586
2039,0,BR,Brasil,220292836,33144508,148550344,52236970,38597984,9592604,0.150456585887341,0.674331252424387,0.237125141917915,0.175212161688272,0.0435447841799086,0.067544836760125,79.5253534422628,24.1766315001086,1.44130045598367,24.5676186878202,38.7194753461751,63.2870940339953,157.603697119293,41.0852751108075,41.6304451940208
2040,0,BR,Brasil,220386440,32761971,148048781,53633215,39575688,10027368,0.148656927349977,0.671769011741376,0.243359868238717,0.179574060908648,0.045499024350137,0.0424907144960462,79.7003977103764,24.2711084555258,1.44087517787648,24.4508279622489,40.0273998480528,64.4782278103017,163.705703176405,41.4035367647846,42.0366116320482
2041,0,BR,Brasil,220425299,32404644,147431686,55026158,40588969,10471907,0.147009640667426,0.668851019682636,0.249636308761455,0.184139339649937,0.0475077363964469,0.0176322100397863,79.8729656758566,24.3642484086358,1.44079010146056,24.3654021263752,41.3747630475267,65.7401651739019,169.809481628621,41.7164857514835,42.4393396254195
2042,0,BR,Brasil,220410205,32067857,146692237,56392977,41650111,10922339,0.145491707155755,0.665541947116287,0.255854655187132,0.188966345727958,0.0495545975287306,-0.0068476713283249,80.0432231983799,24.4561286150824,1.44103879114995,24.3031526084349,42.7383446943449,67.0414973027799,175.855146790757,42.0240548798546,42.8369796618414
